,season,team_alias,game_id,team_game_score,assists/score,differencestrash,w/l_ratio,star_power,differences,win_count,game_count
4,2013,ALA,1181.8387096774193,66.70967741935483,0.16052128728581985,-4.193548387096774,0.3870967741935484,2.3006451612903227,0.5483870967741935,12,31.0
11,2013,ARIZ,1012.4473684210526,72.86842105263158,0.20560497454143367,5.815789473684211,0.868421052631579,1.6892105263157895,-14.31578947368421,33,38.0
12,2013,ARK,1144.4117647058824,80.08823529411765,0.19072915343107572,8.176470588235293,0.6470588235294118,1.8402941176470584,-9.875,22,34.0
16,2013,ASU,837.3636363636364,75.33333333333333,0.18847287410410235,6.333333333333333,0.6363636363636364,2.075151515151515,-6.935483870967742,21,33.0
17,2013,AUB,917.8,71.53333333333333,0.1607260939395247,0.9333333333333333,0.4666666666666667,2.2466666666666666,0.9615384615384616,14,30.0
19,2013,BAY,867.5555555555555,73.5,0.1953207250057542,3.111111111111111,0.6666666666666666,1.7555555555555558,-5.694444444444445,24,36.0
20,2013,BC,766.2333333333333,69.06666666666666,0.17898693977669725,-2.566666666666667,0.23333333333333334,2.276333333333333,5.137931034482759,7,30.0
31,2013,BUT,832.2666666666667,67.5,0.16517165501757666,-1.3333333333333333,0.43333333333333335,2.077,-0.034482758620689655,13,30.0
33,2013,CAL,916.7058823529412,72.58823529411765,0.21053598575444665,1.2647058823529411,0.6176470588235294,1.8211764705882354,-5.428571428571429,21,34.0
43,2013,CIN,942.6764705882352,68.38235294117646,0.1797868155770222,-0.17647058823529413,0.7941176470588235,2.3844117647058827,-8.129032258064516,27,34.0
45,2013,CLEM,898.0555555555555,63.52777777777778,0.16991139811241132,-7.333333333333333,0.6388888888888888,2.1769444444444446,-5.032258064516129,23,36.0
50,2013,COLO,932.1714285714286,70.2,0.15765199116350384,2.1142857142857143,0.6571428571428571,1.897428571428571,-4.16,23,35.0
51,2013,CONN,1065.2,71.825,0.16856766202680531,4.325,0.8,2.1445,-9.2,32,40.0
56,2013,CREI,1030.0,78.74285714285715,0.22131555488573101,12.371428571428572,0.7714285714285715,2.9054285714285704,-8.148148148148149,27,35.0
66,2013,DEP,1060.4242424242425,69.39393939393939,0.1561898011793655,-2.484848484848485,0.36363636363636365,2.125151515151516,3.8846153846153846,12,33.0
71,2013,DUKE,936.4,78.42857142857143,0.18539936062650095,9.228571428571428,0.7428571428571429,1.9505714285714284,-11.689655172413794,26,35.0
87,2013,FLA,1160.0,69.92307692307692,0.18414941565402193,-1.641025641025641,0.9230769230769231,1.9874358974358972,-14.466666666666667,36,39.0
90,2013,FSU,968.9722222222222,70.94444444444444,0.1490834415039907,0.3333333333333333,0.6111111111111112,1.796388888888889,-4.035714285714286,22,36.0
99,2013,GT,973.6969696969697,66.66666666666667,0.1975016693721932,-3.878787878787879,0.48484848484848486,1.9042424242424245,-0.3,16,33.0
100,2013,GTWN,963.939393939394,71.03030303030303,0.18357411437210552,2.9393939393939394,0.5454545454545454,2.091515151515151,-1.1363636363636365,18,33.0
102,2013,HALL,930.9705882352941,71.82352941176471,0.1866502646090955,5.411764705882353,0.5,2.0891176470588237,-2.130434782608696,17,34.0
110,2013,HOU,869.5151515151515,70.6969696969697,0.20647831233762817,3.8484848484848486,0.48484848484848486,1.776969696969697,2.7037037037037037,16,33.0
115,2013,ILL,985.3714285714286,64.22857142857143,0.15722199736332418,-3.9714285714285715,0.5714285714285714,2.1654285714285715,0.7777777777777778,20,35.0
117,2013,IND,839.75,72.25,0.1606934983183589,6.65625,0.53125,2.0837500000000007,-3.6538461538461537,17,32.0
120,2013,IOWA,1029.6969696969697,81.48484848484848,0.1970180159716871,9.636363636363637,0.6060606060606061,1.8936363636363636,-9.0,20,33.0
122,2013,ISU,1058.5277777777778,82.55555555555556,0.2215580374443818,10.25,0.7777777777777778,1.9080555555555554,-8.28,28,36.0
131,2013,KSU,762.3030303030303,69.0909090909091,0.21907466493317262,-1.7272727272727273,0.6060606060606061,1.944242424242424,-5.043478260869565,20,33.0
