Rk,Year,Lg,Rd,Pk,Tm,Player,Pos,Born,College,From?,To,G,MP,PTS,TRB,AST,STL,BLK,FG%,2P%,3P%,FT%,WS,WS/48
1,2014,NBA,1,8,SAC,Nik Stauskas,G,ca,University of Michigan,2015,2019,332,20,6.8,2.1,1.5,0.4,0.2,0.389,0.438,0.353,0.815,3.9,0.028
2,2014,NBA,2,40,MIN,Glenn Robinson III,G-F,us,University of Michigan,2015,2019,216,14.4,4.4,2.1,0.6,0.4,0.2,0.439,0.479,0.361,0.729,4.6,0.072
3,2014,NBA,1,24,CHH,Shabazz Napier,G,us,University of Connecticut,2015,2019,288,16,6.4,1.7,2,0.8,0.1,0.393,0.43,0.352,0.812,6.2,0.065
4,2014,NBA,1,13,MIN,Zach LaVine,G,us,University of California Los Angeles,2015,2019,293,29.9,16.1,3.4,3.5,0.8,0.2,0.446,0.481,0.373,0.824,8.1,0.044
5,2014,NBA,1,9,CHH,Noah Vonleh,F,us,Indiana University,2015,2019,299,17.7,5.1,5.4,0.8,0.4,0.4,0.453,0.491,0.316,0.683,8.3,0.075
6,2014,NBA,2,33,CLE,Joe Harris,G,us,University of Virginia,2015,2019,260,22.5,9.3,2.8,1.5,0.4,0.2,0.476,0.542,0.426,0.799,10.3,0.084
7,2014,NBA,1,11,DEN,Doug McDermott,F,us,Creighton University,2015,2019,338,19.9,7.8,2.1,0.8,0.2,0.1,0.46,0.502,0.403,0.824,10.5,0.075
8,2014,NBA,2,46,WAS,Jordan Clarkson,G,us,University of Missouri,2015,2019,378,27.6,14.7,3.3,2.7,0.9,0.1,0.445,0.496,0.335,0.815,10.7,0.049
9,2014,NBA,1,2,MIL,Jabari Parker,F,us,Duke University,2015,2019,247,29.7,15.1,5.7,2.1,0.9,0.4,0.491,0.521,0.337,0.739,11.7,0.076
10,2014,NBA,1,1,CLE,Andrew Wiggins,F-G,ca,University of Kansas,2015,2019,396,36,19.4,4.3,2.2,1,0.6,0.439,0.466,0.33,0.736,12.9,0.043
11,2014,NBA,1,14,PHO,T.J. Warren,F,us,North Carolina State University,2015,2019,261,27.7,14.4,4.1,1.1,0.9,0.5,0.497,0.524,0.34,0.766,13,0.086
12,2014,NBA,1,10,PHI,Elfrid Payton,G,us,University of Louisiana at Lafayette,2015,2019,339,29.5,11.1,4.3,6.5,1.3,0.3,0.454,0.478,0.3,0.629,13.1,0.063
13,2014,NBA,2,38,DET,Spencer Dinwiddie,G,us,University of Colorado,2015,2019,250,24.4,11,2.6,4.5,0.7,0.3,0.408,0.475,0.324,0.799,13.3,0.105
14,2014,NBA,1,30,SAS,Kyle Anderson,F-G,us,University of California Los Angeles,2015,2019,300,19.6,5.3,3.9,1.9,1,0.5,0.492,0.519,0.324,0.706,15.4,0.125
15,2014,NBA,1,19,CHI,Gary Harris,G,us,Michigan State University,2015,2019,308,28.5,12.4,2.6,2.1,1.2,0.2,0.46,0.525,0.367,0.803,15.9,0.087
16,2014,NBA,1,23,UTA,Rodney Hood,G-F,us,Duke University,2015,2019,317,27.2,12.6,2.8,1.9,0.8,0.2,0.422,0.464,0.367,0.842,16,0.089
17,2014,NBA,1,6,BOS,Marcus Smart,G,us,Oklahoma State University,2015,2019,339,28.4,9.3,3.5,3.9,1.5,0.4,0.373,0.436,0.311,0.763,16.2,0.08
18,2014,NBA,1,16,CHI,Jusuf Nurkic,C,ba,,2015,2019,310,22.9,11.6,8,1.9,0.8,1.3,0.491,0.498,0.071,0.666,16.5,0.111
19,2014,NBA,2,39,PHI,Jerami Grant,F,us,Syracuse University,2015,2019,379,24,8.7,3.9,1,0.6,1.2,0.46,0.521,0.33,0.654,17.8,0.094
20,2014,NBA,1,7,LAL,Julius Randle,F-C,us,University of Kentucky,2015,2019,310,28.4,15.3,8.8,2.7,0.6,0.5,0.502,0.522,0.309,0.724,17.8,0.097
21,2014,NBA,1,4,ORL,Aaron Gordon,F,us,University of Arizona,2015,2019,338,27.8,12.4,6.2,2.1,0.8,0.6,0.449,0.51,0.321,0.705,17.8,0.091
22,2014,NBA,2,45,CHH,Dwight Powell,F-C,ca,Stanford University,2015,2019,328,17.7,7.5,4.4,0.9,0.7,0.5,0.553,0.611,0.301,0.75,22.1,0.182
23,2014,NBA,1,25,HOU,Clint Capela,C,ch,,2015,2019,292,25,11.9,9.1,0.9,0.7,1.4,0.633,0.634,0,0.523,30.7,0.202
24,2015,NBA,1,25,MEM,Jarell Martin,F,us,Louisiana State University,2016,2019,181,16,5.5,3.5,0.6,0.4,0.4,0.435,0.455,0.356,0.766,3.2,0.053
25,2015,NBA,1,8,DET,Stanley Johnson,F,us,University of Arizona,2016,2019,285,21.6,7,3.4,1.5,0.9,0.2,0.374,0.43,0.293,0.764,3.3,0.026
26,2015,NBA,1,21,DAL,Justin Anderson,G,us,University of Virginia,2016,2019,213,13.1,5.3,2.6,0.7,0.4,0.3,0.421,0.526,0.3,0.773,4.6,0.079
27,2015,NBA,1,3,PHI,Jahlil Okafor,C-F,us,Duke University,2016,2019,187,20.9,11.3,5.1,0.9,0.3,0.9,0.528,0.531,0.154,0.678,5,0.062
28,2015,NBA,1,18,HOU,Sam Dekker,F,us,University of Wisconsin,2016,2019,197,15.4,5.5,3,0.8,0.5,0.2,0.484,0.577,0.289,0.606,5.5,0.087
29,2015,NBA,1,2,LAL,D'Angelo Russell,G,us,Ohio State University,2016,2019,269,28.5,16.5,3.7,5.1,1.2,0.2,0.417,0.464,0.351,0.761,5.9,0.037
30,2015,NBA,2,41,BRK,Pat Connaughton,G,us,University of Notre Dame,2016,2019,212,14.6,4.5,2.3,1.1,0.3,0.2,0.436,0.538,0.349,0.8,6.5,0.1
31,2015,NBA,2,46,MIL,Norman Powell,G,us,University of California Los Angeles,2016,2019,252,16.8,7,2.1,1.2,0.6,0.2,0.44,0.51,0.339,0.806,7.1,0.08
32,2015,NBA,1,10,MIA,Justise Winslow,F,us,Duke University,2016,2019,226,28.2,8.9,5.3,2.6,0.9,0.4,0.419,0.448,0.344,0.645,7.7,0.058
33,2015,NBA,1,24,CLE,Tyus Jones,G,us,Duke University,2016,2019,243,17.5,5,1.5,3.2,1,0.1,0.418,0.461,0.339,0.816,8.1,0.091
34,2015,NBA,1,12,UTA,Trey Lyles,F,ca,University of Kentucky,2016,2019,287,17.5,7.6,3.9,1.1,0.4,0.3,0.43,0.494,0.33,0.706,8.1,0.077
