,season,team_alias,game_id,team_game_score,assists/score,differencestrash,w/l_ratio,star_power,differences,win_count
87,2013,FLA,1160.0,69.92307692307692,0.18414941565402193,-1.641025641025641,0.9230769230769231,1.9874358974358972,-14.466666666666667,36
330,2013,WICH,874.0571428571428,74.65714285714286,0.18333686930427523,13.8,0.9714285714285714,1.9791428571428575,-17.0,34
11,2013,ARIZ,1012.4473684210526,72.86842105263158,0.20560497454143367,5.815789473684211,0.868421052631579,1.6892105263157895,-14.31578947368421,33
51,2013,CONN,1065.2,71.825,0.16856766202680531,4.325,0.8,2.1445,-9.2,32
145,2013,LOU,1074.4054054054054,81.02702702702703,0.18920637068406654,15.555555555555555,0.8378378378378378,1.9416216216216209,-18.47826086956522,31
315,2013,UVA,863.081081081081,66.1891891891892,0.19645616227772747,8.027027027027026,0.8108108108108109,1.6894594594594594,-6.8,30
332,2013,WIS,1041.7105263157894,73.44736842105263,0.16724761544447367,9.5,0.7894736842105263,1.8136842105263156,-7.0,30
173,2013,MSU,905.5526315789474,75.52631578947368,0.22081560311857587,9.105263157894736,0.7631578947368421,2.1978947368421053,-11.238095238095237,29
283,2013,UK,934.775,74.8,0.14967532640542683,7.775,0.725,1.7999999999999996,-11.333333333333334,29
321,2013,VILL,1004.7941176470588,77.97058823529412,0.19651974398142977,10.235294117647058,0.8529411764705882,1.806764705882353,-15.0,29
634,2014,UK,4781.410256410257,74.35897435897436,0.18849522808229227,19.487179487179485,0.9743589743589743,1.6894871794871795,-20.4,38
683,2014,WIS,4510.125,72.5,0.17483291301865095,14.325,0.9,1.9372500000000001,,36
417,2014,DUKE,5152.641025641025,79.25641025641026,0.1872920504153145,13.025641025641026,0.8974358974358975,1.8687179487179486,-14.685714285714285,35
356,2014,ARIZ,4655.0526315789475,76.60526315789474,0.18031532263134342,11.81578947368421,0.8947368421052632,1.5773684210526315,-16.92105263157895,34
443,2014,GONZ,4886.810810810811,77.83783783783784,0.20560809484833958,8.297297297297296,0.918918918918919,1.8381081081081074,-18.580645161290324,34
672,2014,VILL,4855.777777777777,76.5,0.205369302077817,15.833333333333334,0.9166666666666666,1.7716666666666667,-14.0,33
530,2014,ND,4669.631578947368,77.97368421052632,0.19429242422751805,12.947368421052632,0.8421052631578947,1.7321052631578946,-7.6923076923076925,32
648,2014,UNI,4506.057142857143,65.17142857142858,0.18129363569796336,10.0,0.8857142857142857,1.906,-6.4,31
666,2014,UVA,4802.176470588235,65.41176470588235,0.1932580222400014,13.352941176470589,0.8823529411764706,1.7761764705882352,-13.8,30
681,2014,WICH,5028.558823529412,69.26470588235294,0.19332059973182822,11.882352941176471,0.8529411764705882,1.8826470588235296,,29
1023,2015,VILL,10605.225,77.95,0.2011672847907063,14.75,0.875,1.7924999999999998,-12.0,35
991,2015,UNC,11778.775,82.775,0.2136832568073098,13.225,0.825,1.8202499999999997,-8.125,33
830,2015,KU,11166.216216216217,80.16216216216216,0.19225553897910425,10.513513513513514,0.8648648648648649,1.9075675675675672,-12.923076923076923,32
901,2015,ORE,10953.756756756757,78.43243243243244,0.1731853769995118,8.243243243243244,0.8108108108108109,1.8927027027027024,-9.222222222222221,30
871,2015,MSU,11001.114285714286,79.8,0.25705014460659464,14.057142857142857,0.8285714285714286,2.1288571428571426,-16.72222222222222,29
899,2015,OKLA,10426.162162162162,79.67567567567568,0.18043945859350322,7.5675675675675675,0.7837837837837838,2.4908108108108102,-8.31578947368421,29
1017,2015,UVA,11033.945945945947,70.97297297297297,0.20926237093304706,9.135135135135135,0.7837837837837838,2.1486486486486487,-9.833333333333334,29
798,2015,GW,11109.21052631579,75.65789473684211,0.1865345980741174,2.473684210526316,0.7368421052631579,1.7399999999999998,-8.423076923076923,28
825,2015,JOES,10767.833333333334,77.22222222222223,0.19099472852909194,2.611111111111111,0.7777777777777778,1.9483333333333333,-6.904761904761905,28
862,2015,MONM,10723.4,79.71428571428571,0.15297999177693378,5.3428571428571425,0.8,2.0745714285714283,-10.31578947368421,28
1145,2016,GONZ,16641.02564102564,82.61538461538461,0.18263143385315364,10.717948717948717,0.9487179487179487,1.7166666666666668,-22.818181818181817,37
1058,2016,ARIZ,16815.405405405407,76.56756756756756,0.17598151315575955,4.243243243243243,0.8648648648648649,1.7310810810810815,-10.621621621621621,32
1252,2016,ORE,16618.315789473683,78.5,0.19733081361249422,10.131578947368421,0.8421052631578947,2.004736842105263,-16.5,32
1336,2016,UK,16234.263157894737,84.86842105263158,0.17908006546515043,12.342105263157896,0.8421052631578947,1.955,-10.714285714285714,32
1342,2016,UNC,16410.71794871795,83.92307692307692,0.21638536332084035,9.974358974358974,0.8205128205128205,1.8630769230769226,-16.166666666666668,32
1374,2016,VILL,16655.5,77.19444444444444,0.17908868402631284,13.305555555555555,0.8888888888888888,1.9052777777777778,-13.6,32
1181,2016,KU,16722.222222222223,83.19444444444444,0.1956424560484276,6.583333333333333,0.8611111111111112,1.8419444444444442,-14.0,31
1331,2016,UCLA,16747.916666666668,89.80555555555556,0.2388858388427032,14.833333333333334,0.8611111111111112,1.6711111111111114,-16.785714285714285,31
1090,2016,CIN,17181.805555555555,74.27777777777777,0.20627721599529517,5.25,0.8333333333333334,1.7155555555555557,-12.34375,30
1224,2016,MTU,16836.457142857143,74.14285714285714,0.20565779561376993,5.514285714285714,0.8571428571428571,2.157714285714286,-9.55,30
1725,2017,VILL,22680.9,86.575,0.18640679324178128,16.375,0.9,1.8002500000000001,-15.0,36
1496,2017,GONZ,22826.18918918919,83.54054054054055,0.17986745325777512,10.837837837837839,0.8648648648648649,1.7400000000000002,-17.677419354838708,32
1559,2017,MICH,22414.85,72.925,0.19143232693386103,3.55,0.8,1.84525,-7.16,32
1441,2017,CIN,22980.61111111111,74.25,0.21110296060861256,0.0,0.8611111111111112,1.7369444444444446,-16.242424242424242,31
1532,2017,KU,22992.410256410258,81.38461538461539,0.2049948697322662,7.82051282051282,0.7948717948717948,2.0638461538461534,-12.142857142857142,31
1533,2017,L-IL,23138.62162162162,70.94594594594595,0.21505983523757827,2.6486486486486487,0.8378378378378378,1.7629729729729726,-9.857142857142858,31
1719,2017,UVA,22843.970588235294,67.08823529411765,0.20005579797946388,9.852941176470589,0.9117647058823529,1.9923529411764713,-10.714285714285714,31
1573,2017,MSU,22450.428571428572,80.2,0.23427226255115674,10.428571428571429,0.8571428571428571,1.8731428571428563,-13.777777777777779,30
1618,2017,PUR,22633.08108108108,80.37837837837837,0.19867995494171894,12.108108108108109,0.8108108108108109,2.0429729729729726,-14.0,30
1653,2017,SMC,23204.944444444445,77.0,0.19765653273212533,12.416666666666666,0.8333333333333334,2.344166666666667,-3.875,30
