,season,teamAbbr,star_power,assists/score,win_count,w/l_ratio
15,2012,MIA,2.016982640450342,0.22372701573182108,66.0,0.8048780487804879
20,2012,OKC,2.0680630884067384,0.20169255849673662,60.0,0.7317073170731707
25,2012,SA,1.693733435261078,0.24344965924267453,58.0,0.7073170731707317
55,2013,SA,1.6533066911558547,0.2378076980881642,62.0,0.7560975609756098
50,2013,OKC,2.421222663218008,0.20571623107438683,59.0,0.7195121951219512
42,2013,LAC,1.798252141826172,0.22770690723034284,57.0,0.6951219512195121
69,2014,GS,2.025172152306377,0.2492416029974724,67.0,0.8170731707317073
60,2014,ATL,1.6133662134007203,0.2506220134641825,60.0,0.7317073170731707
70,2014,HOU,2.128906709353243,0.21375048639124364,56.0,0.6829268292682927
99,2015,GS,2.3205523229131546,0.25189609612843733,73.0,0.8902439024390244
115,2015,SA,1.7937777799127403,0.23625818709716792,67.0,0.8170731707317073
95,2015,CLE,1.952832790820163,0.21677088606384887,57.0,0.6951219512195121
129,2016,GS,2.085219241643061,0.2614912148471009,67.0,0.8170731707317073
145,2016,SA,1.9575280958926944,0.22509751497329072,61.0,0.7439024390243902
130,2016,HOU,2.0837391326961465,0.21865447338811653,55.0,0.6707317073170732
160,2017,HOU,2.0755452688876055,0.19141019716855878,65.0,0.7926829268292683
177,2017,TOR,1.8868329551978196,0.2174969356403484,59.0,0.7195121951219512
159,2017,GS,2.1388053173317583,0.25774599373864504,58.0,0.7073170731707317
