,season,game_id,team_alias,team_game_score,w/l_ratio
0,2013,0,LOU,66.0,L
1,2013,0,MEM,72.0,W
2,2013,1,ARK,61.0,L
3,2013,1,UGA,66.0,W
4,2013,2,HOU,78.0,W
5,2013,2,USF,69.0,L
6,2013,3,FSU,85.0,W
7,2013,3,VCU,67.0,L
8,2013,4,ASU,76.0,W
9,2013,4,STAN,64.0,L
10,2013,5,DUKE,66.0,W
11,2013,5,VT,48.0,L
12,2013,6,RUTG,79.0,W
13,2013,6,USF,69.0,L
14,2013,7,COLO,68.0,W
15,2013,7,WSU,63.0,L
16,2013,8,KSU,60.0,L
17,2013,8,KU,86.0,W
18,2013,9,LT,102.0,W
19,2013,9,OKLA,98.0,L
20,2013,10,MIZZ,75.0,W
21,2013,10,TENN,70.0,L
22,2013,11,MICH,73.0,W
23,2013,11,TENN,71.0,L
24,2013,12,L-IL,64.0,L
25,2013,12,MSST,65.0,W
26,2013,13,SCU,66.0,W
27,2013,13,USF,65.0,L
28,2013,14,MIA,64.0,W
29,2013,14,NORF,49.0,L
30,2013,15,OKLA,77.0,W
31,2013,15,TCU,69.0,L
32,2013,16,MIZZ,68.0,W
33,2013,16,NCST,64.0,L
34,2013,17,GW,93.0,W
35,2013,17,RUTG,87.0,L
36,2013,18,NEB,62.0,W
37,2013,18,WIU,47.0,L
38,2013,19,IND,60.0,L
39,2013,19,NEB,70.0,W
40,2013,20,ARIZ,67.0,W
41,2013,20,ORE,65.0,L
42,2013,21,JOES,65.0,W
43,2013,21,VCU,61.0,L
44,2013,22,GTWN,73.0,L
45,2013,22,MARQ,75.0,W
46,2013,23,STAN,97.0,W
47,2013,23,TXSO,71.0,L
48,2013,24,DUKE,66.0,W
49,2013,24,SYR,60.0,L
50,2013,25,MICH,63.0,W
51,2013,25,MINN,60.0,L
52,2013,26,PSU,89.0,W
53,2013,26,SJU,82.0,L
54,2013,27,SMU,71.0,W
55,2013,27,USF,54.0,L
56,2013,28,PUR,68.0,W
57,2013,28,SIE,63.0,L
58,2013,29,BAY,69.0,W
59,2013,29,CHSO,64.0,L
60,2013,30,BUT,50.0,L
61,2013,30,XAV,64.0,W
62,2013,31,MIA,55.0,L
63,2013,31,PITT,59.0,W
64,2013,32,MINN,92.0,W
65,2013,32,NEOM,79.0,L
66,2013,33,LAF,59.0,L
67,2013,33,VILL,75.0,W
68,2013,34,MINN,70.0,L
69,2013,34,WIS,78.0,W
70,2013,35,TEM,75.0,L
71,2013,35,USF,82.0,W
72,2013,36,RUTG,89.0,W
73,2013,36,UNCG,72.0,L
74,2013,37,AUB,69.0,W
75,2013,37,TXAM,64.0,L
76,2013,38,DRKE,54.0,L
77,2013,38,WICH,83.0,W
78,2013,39,MISS,82.0,W
79,2013,39,MSST,63.0,L
80,2013,40,MINN,75.0,L
81,2013,40,MSU,87.0,W
82,2013,41,FSU,73.0,L
83,2013,41,MIA,77.0,W
84,2013,42,BUT,79.0,W
85,2013,42,UND,64.0,L
86,2013,43,LSU,77.0,W
87,2013,43,MIZZ,71.0,L
88,2013,44,LONG,82.0,W
89,2013,44,TCU,79.0,L
90,2013,45,IOWA,83.0,L
91,2013,45,VILL,88.0,W
92,2013,46,SDSU,76.0,W
93,2013,46,SUU,39.0,L
94,2013,47,UNCG,51.0,L
95,2013,47,WAKE,59.0,W
96,2013,48,AUB,77.0,W
97,2013,48,BC,67.0,L
98,2013,49,DUKE,68.0,W
99,2013,49,GT,51.0,L
100,2013,50,BAY,86.0,W
101,2013,50,TEX,69.0,L
102,2013,51,BAY,91.0,W
103,2013,51,TCU,58.0,L
104,2013,52,NE,49.0,L
105,2013,52,VAN,79.0,W
106,2013,53,ELON,76.0,L
